place,latitude,longitude,city_district
Allianz Arena,48.21880845,11.624664151799873,Schwabing-Freimann
Alte Pinakothek,48.1482861,11.569970907138872,Maxvorstadt
Asamkirche Munich,48.13513575,11.569318485876174,Sendling
Bayerisches Nationalmuseum,48.1433855,11.5911498,Altstadt-Lehel
Bayerisches Staatsoper,48.1396162,11.579513288504806,Altstadt-Lehel
BMW Museum,48.176902600000005,11.559069230836359,Milbertshofen-Am Hart
Deutsches Museum,48.13003865,11.582888488551909,Ludwigsvorstadt-Isarvorstadt
Eisbach,48.1532473,11.5983076,Schwabing-Freimann
English Garden,35.007081,-81.2181288,Schwabing-Freimann
Lenbachhaus,48.14693990000001,11.563502650813499,Maxvorstadt
Marienplatz,48.137031750000006,11.575924590567384,Altstadt-Lehel
Munchener Tierpark Hellabrunn,48.096281149999996,11.554196865190177,Untergiesing-Harlaching
Munich Residenz,48.1411608,11.57904463904056,Altstadt-Lehel
Museum Brandhorst,48.1476318,11.57385874695941,Maxvorstadt
Neues Rathaus Munich,48.137788,11.575343667017169,Altstadt-Lehel
Nymphenburg Palace,48.1582569,11.5032967,Neuhausen-Nymphenburg
Olympiapark,48.16875265,11.55032660696114,Milbertshofen-Am Hart
Olympiaturm,48.17441755,11.553739717731808,Milbertshofen-Am Hart
Pinakothek der Moderne,48.14716025,11.572227101401982,Maxvorstadt
St-Peter Munich,48.13644495,11.576030455223243,Altstadt-Lehel
Viktualienmarkt,48.1352964,11.5749958,Altstadt-Lehel
Kleine Olympiahalle,48.174612100000004,11.552323468351183,Milbertshofen-Am Hart
Museum Mensch und Natur,48.1602752,11.5038365,Neuhausen-Nymphenburg
Muenchner Kammerspiele,48.1384914,11.5825187,Altstadt-Lehel
Muenchner Stadtmuseum,48.1351603,11.572607585081988,Altstadt-Lehel
Nationaltheater,51.507038699999995,-0.11453015351581934,Altstadt-Lehel
Neue Pinakothek,48.1499278,11.570937445883057,Maxvorstadt
Olympia-Eissportzentrum,48.174995949999996,11.557195210531152,Schwabing-West
Olympiahalle,48.17489745,11.55001605765424,Milbertshofen-Am Hart
Olympiastadion,48.1730899,11.546491479187704,Milbertshofen-Am Hart
Prinzregententheater,48.1389662,11.605621448473153,Au-Haidhausen
Residenztheater,48.1400883,11.5794794,Altstadt-Lehel
Schack galerie,48.14250955,11.593434725593049,Altstadt-Lehel
Staatstheater am Gaertnerplatz,48.1312474,11.5757021,Ludwigsvorstadt-Isarvorstadt
Tierpark Hellabrunn,48.096281149999996,11.554196865190177,Untergiesing-Harlaching
